subImageType,startX,startY,endX,endY,shouldKeepColour,shouldInvertGreyscale,isWhiteOnBlue,isWhiteOnOrange,rgbComparisonBuffer,additionalBorderSize,additionalCopies
BLUE_GAME_SCORE,820,47,868,97,false,false,true,false,80,50,2,
ORANGE_GAME_SCORE,1050,44,1095,97,false,false,false,true,80,50,2,
BLUE_SERIES_TICK1,753,106,798,118,true,false,false,false,30,0,0,
BLUE_SERIES_TICK2,703,106,751,118,true,false,false,false,30,0,0,
BLUE_SERIES_TICK3,651,106,696,118,true,false,false,false,30,0,0,
BLUE_SERIES_TICK4,601,106,647,118,true,false,false,false,30,0,0,
ORANGE_SERIES_TICK1,1118,106,1164,118,true,false,false,false,30,0,0,
ORANGE_SERIES_TICK2,1171,106,1217,118,true,false,false,false,30,0,0,
ORANGE_SERIES_TICK3,1221,106,1266,118,true,false,false,false,30,0,0,
ORANGE_SERIES_TICK4,1270,106,1316,118,true,false,false,false,30,0,0,
BLUE_TEAM,546,49,800,100,false,false,true,false,30,0,0,
ORANGE_TEAM,1116,49,1368,100,false,false,false,true,30,0,0,
BLUE_PLAYER1,21,20,226,42,false,true,false,false,30,0,0,
BLUE_PLAYER2,21,66,226,90,false,true,false,false,30,0,0,
BLUE_PLAYER3,21,112,226,134,false,true,false,false,30,0,0,
ORANGE_PLAYER1,1671,20,1896,42,false,true,false,false,30,0,0,
ORANGE_PLAYER2,1671,66,1896,90,false,true,false,false,30,0,0,
ORANGE_PLAYER3,1671,112,1896,134,false,true,false,false,30,0,0,
CLOCK,888,42,1029,100,false,false,false,false,30,0,0,
BEST_OF,962,108,1101,129,false,true,false,false,30,0,0,
GAME_NUMBER,816,108,946,129,false,true,false,false,30,0,0,
DESCRIPTION,547,5,1370,31,false,true,false,false,30,0,0,
